user_id,parent_asin,rating,timestamp
AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1442450703,5,1523090000000.0
AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,1780671067,1,1611620000000.0
AGKASBHYZPGTEPO6LWZPVJWB2BVA,803736800,4,1454680000000.0
AHXBL3QDWZGJYH7A5CMPFNUPMF7Q,920668372,5,1430060000000.0
AGKFRCDY4WBW4RH6GFYFJ3T3XBSA,B016ZNRC0Q,5,1533430000000.0
AGKFRCDY4WBW4RH6GFYFJ3T3XBSA,B00YTXTIDO,5,1556920000000.0
AFZUK3MTBIBEDQOPAK3OATUOUKLA,486789640,5,1452720000000.0
AFZUK3MTBIBEDQOPAK3OATUOUKLA,1780671067,5,1458940000000.0
AGFWIDDE6JBJ5UPX7EZTSZELRCPQ,B00DPM7TIG,5,1404570000000.0
AHV6QCNBJNSGLATP56JAWJ3C4G2A,486789640,5,1441750000000.0
AHV6QCNBJNSGLATP56JAWJ3C4G2A,B00L9B7IKE,4,1451420000000.0
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,399226907,5,1644100000000.0
AGTITI6OKWPN2AVELIAJALJFX6NA,312510780,5,1483410000000.0
AHWZGKHOHK7YVTXCTCCY7VCI54FQ,B01M7XPGYE,3,1523670000000.0
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,B00C2WDD5I,5,1392910000000.0
AFBTXCSLSSICK734GIDYSHVZVSFA,545261244,5,1548300000000.0
AGOBXBFD53ALA3F6W62XJPLZQG2A,B07415PPP1,5,1598910000000.0
AEICZD35OTDYVWA2KPYWN4PDZ2SA,545261244,5,1558710000000.0
AGBOGNMAG3UCA6B4Z6VT62DVNOIA,B00YTXTIDO,5,1456830000000.0
AGBOGNMAG3UCA6B4Z6VT62DVNOIA,B01B1OGQH4,5,1474620000000.0
AGBOGNMAG3UCA6B4Z6VT62DVNOIA,B01M7XPGYE,5,1497690000000.0
AHNGFLCHE75OQH4PZFLNJTTKUBSQ,B016ZNRC0Q,5,1640120000000.0
AFNOE72IGHPY5XTBEHKOIL4E6XVA,735219095,4,1565810000000.0
AETGCWXC47MSMK6B2TLZ44KCFJZQ,B016ZNRC0Q,4,1468950000000.0
AETGCWXC47MSMK6B2TLZ44KCFJZQ,B00JO8PEN2,5,1501410000000.0
AETGCWXC47MSMK6B2TLZ44KCFJZQ,B01L1CEZ6K,5,1517670000000.0
